"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jaylen Nowell,,2.8,1.2,0.7,0.2,0.1,-0.2,
Justin Jackson,87.6,2.9,1.2,1.0,0.2,0.1,0.0,0.0
A.J. Green,86.6,2.8,1.1,0.8,,,,
Terrance Ferguson,84.9,2.8,1.2,0.6,-0.2,,,
Shaedon Sharpe,83.3,3.0,1.2,0.5,,,,
Harold Ellis,82.2,2.8,0.9,0.9,,,,
Ralph Johnson,81.1,2.9,1.6,0.8,0.0,,,
Robert Smith,80.7,2.9,1.4,0.8,0.6,0.0,0.0,0.0
Franklin Edwards,78.3,2.7,0.8,0.6,0.2,0.1,-0.2,-0.3
Michael Holton,78.1,2.3,1.3,0.8,0.3,0.2,-0.2,
Ian Clark,77.6,2.3,1.1,0.9,0.2,-0.1,-0.1,
