"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Moritz Wagner,,5.6,3.4,2.8,2.0,1.7,1.2,0.2,,
Ron Franz,88.5,5.9,3.7,3.3,2.2,2.1,0.9,,,
Tyler Zeller,88.3,6.5,2.9,2.6,2.0,1.7,1.0,0.3,0.0,
Earl Lloyd,86.2,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4
Drew Eubanks,85.3,4.4,3.4,3.1,2.3,1.7,0.8,0.3,,
John Brown,84.8,4.2,3.7,2.6,2.3,1.7,1.7,0.1,,
Jackie Moreland,84.5,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,
Kenny Walker,84.2,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,
Danny Vranes,83.9,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,
David Benoit,83.4,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,
Albert King,83.3,5.7,4.3,2.4,1.9,1.9,0.2,0.1,0.0,-0.1
