"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Keegan Murray,,5.2,4.4,4.3,,,,
George Stone,92.3,4.6,4.6,4.5,0.2,,,
Dino Radja,90.2,5.9,4.5,4.0,-0.2,,,
Sly Williams,89.1,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
Sam Hauser,87.2,4.9,4.4,3.4,0.6,,,
Herbert Jones,87.1,6.3,4.6,4.2,0.4,,,
Maurice Stokes,85.7,6.0,5.5,4.5,,,,
Chuck Gilmur,84.0,4.6,4.5,4.3,1.7,-0.1,,
Nick Richards,81.9,5.1,4.2,3.0,1.0,0.0,,
Santi Aldama,81.1,5.0,4.6,2.4,0.3,,,
Michael Brooks,80.7,4.9,4.7,4.5,2.4,0.0,0.0,
