"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Round')","('Unnamed: 5_level_0', 'Opp')","('Unnamed: 6_level_0', 'W/L')","('Unnamed: 7_level_0', 'G')","('Per Game', 'MP')","('Per Game', 'PTS')","('Per Game', 'TRB')","('Per Game', 'AST')","('Per Game', 'STL')","('Per Game', 'BLK')","('Totals', 'FG')","('Totals', 'FGA')","('Totals', 'FG%')","('Totals', '3P')","('Totals', '3PA')","('Totals', '2P')","('Totals', '2PA')","('Totals', '2P%')","('Totals', 'eFG%')","('Totals', 'FT')","('Totals', 'FTA')","('Totals', 'FT%')","('Totals', 'ORB')","('Totals', 'DRB')","('Totals', 'TRB')","('Totals', 'AST')","('Totals', 'STL')","('Totals', 'BLK')","('Totals', 'TOV')","('Totals', 'PF')","('Totals', 'PTS')","('Unnamed: 35_level_0', 'Awards')"
2008-09,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2009-10,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2010-11,24,CHI,NBA,EC1,IND,W (4-1),5,5.2,0.4,1.6,0.0,0.2,0.2,1,2,.500,0,0,1,2,.500,.500,0,2,.000,2,6,8,0,1,1,2,2,2,
2010-11,24,CHI,NBA,ECS,ATL,W (4-2),6,12.8,1.3,3.0,0.2,0.0,1.0,3,6,.500,0,0,3,6,.500,.500,2,5,.400,8,10,18,1,0,6,2,13,8,
2010-11,24,CHI,NBA,ECF,MIA,L (1-4),4,11.3,1.3,1.3,0.0,0.3,0.3,2,5,.400,0,0,2,5,.400,.400,1,3,.333,0,5,5,0,1,1,3,6,5,
2011-12,25,CHI,NBA,EC1,PHI,L (2-4),6,21.3,3.3,4.7,1.3,0.2,1.7,7,14,.500,0,0,7,14,.500,.500,6,17,.353,8,20,28,8,1,10,8,14,20,
2012-13,26,HOU,NBA,WC1,OKC,L (2-4),6,34.7,12.3,11.2,0.5,0.5,1.7,22,39,.564,0,0,22,39,.564,.564,30,47,.638,21,46,67,3,3,10,12,22,74,
2013-14,27,HOU,NBA,WC1,POR,L (2-4),6,27.2,5.8,8.2,0.7,0.5,0.7,16,33,.485,0,0,16,33,.485,.485,3,3,1.000,21,28,49,4,3,4,11,29,35,
2014-15,28,NOP,NBA,WC1,GSW,L (0-4),4,19.8,2.0,7.3,1.5,1.3,0.0,2,10,.200,0,0,2,10,.200,.200,4,7,.571,12,17,29,6,5,0,5,10,8,
5 Yrs (7 Series),5 Yrs (7 Series),5 Yrs (7 Series),5 Yrs (7 Series),5 Yrs (7 Series),5 Yrs (7 Series),2-5,37,19.6,4.1,5.5,0.6,0.4,0.9,53,109,.486,0,0,53,109,.486,.486,46,84,.548,72,132,204,22,14,32,43,96,152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),WC1 (3 Series),0-3,16,28.1,7.3,9.1,0.8,0.7,0.9,40,82,.488,0,0,40,82,.488,.488,37,57,.649,54,91,145,13,11,14,28,61,117,
EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),EC1 (2 Series),1-1,11,14.0,2.0,3.3,0.7,0.2,1.0,8,16,.500,0,0,8,16,.500,.500,6,19,.316,10,26,36,8,2,11,10,16,22,
ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),ECS (1 Series),1-0,6,12.8,1.3,3.0,0.2,0.0,1.0,3,6,.500,0,0,3,6,.500,.500,2,5,.400,8,10,18,1,0,6,2,13,8,
ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),ECF (1 Series),0-1,4,11.3,1.3,1.3,0.0,0.3,0.3,2,5,.400,0,0,2,5,.400,.400,1,3,.333,0,5,5,0,1,1,3,6,5,
