"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Raul Neto,,2.8,1.8,1.5,1.5,1.2,1.1,0.9,0.7
Alec Burks,88.9,3.2,1.9,1.7,1.5,1.5,1.5,1.0,0.8
Gary Grant,84.0,3.0,1.7,1.6,1.4,1.3,1.3,0.6,-0.4
Shelvin Mack,83.5,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5
Josh Okogie,82.2,2.8,2.2,2.1,1.3,1.3,1.2,0.7,
Si Green,81.0,2.6,2.6,1.6,1.1,1.0,0.8,0.8,0.4
Anthony Bowie,80.5,2.9,2.5,2.0,1.6,1.3,0.7,0.7,0.5
Randy Brown,80.4,2.4,1.9,1.8,1.6,1.5,1.0,0.4,0.3
Wes Matthews,78.4,3.0,2.6,1.6,1.3,0.8,0.7,0.6,0.4
Ledell Eackles,78.2,2.4,2.1,2.0,1.2,1.0,1.0,1.0,
Trey Burke,78.1,2.4,2.4,2.1,1.9,1.4,1.3,0.9,0.5
