Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2018-19,21,GSW,NBA,SG,7,0,18,5.5,13.7,0.4,2.7,5.5,0.5,2.7,8.2,0.333,0.5,0.0,0.0,0.0,2.7,2.7,2.7,0.0,0.0,5.5,2.7,13.7,74,121,
1 Yr,1 Yr,1 Yr,1 Yr,,7,0,18,5.5,13.7,0.4,2.7,5.5,0.5,2.7,8.2,0.333,0.5,0.0,0.0,0.0,2.7,2.7,2.7,0.0,0.0,5.5,2.7,13.7,74,121,
