"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Buddy Hield,,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3
Evan Fournier,93.9,5.7,4.6,3.3,3.2,2.8,2.8,2.1,1.4,1.0
Darrell Walker,91.2,6.3,3.8,3.7,2.9,2.8,2.4,2.3,2.1,0.8
Gerald Henderson,90.1,6.2,5.3,3.7,3.6,2.9,2.3,2.2,1.7,1.3
Eric Piatkowski,89.4,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2.0,1.2
Eric Gordon,89.0,5.3,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Jeremy Lamb,88.7,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,0.2
Ernie Grunfeld,87.8,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4
Foots Walker,87.6,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5
Mike Glenn,87.5,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5
Josh Richardson,87.3,5.6,5.4,3.5,2.5,2.4,2.2,2.1,2.1,1.8
