"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Lavoy Allen,,3.7,2.8,2.5,1.7,1.6,1.5,,,
Tim Bassett,91.1,3.7,2.6,2.4,1.5,1.4,1.1,0.1,,
Derrick Williams,90.8,3.6,3.0,2.6,2.1,1.8,1.1,0.0,,
Don Ford,89.3,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,,
Etan Thomas,88.7,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1
Scott Padgett,87.1,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1,
Lawrence Funderburke,86.9,3.7,3.1,2.1,1.9,1.6,0.5,0.1,,
P.J. Washington,86.9,3.4,2.7,2.6,2.4,2.0,1.9,,,
Lew Hitch,86.8,3.6,3.3,2.7,2.2,2.2,1.2,,,
Toby Kimball,85.2,3.4,3.2,2.5,2.0,1.2,1.2,0.4,0.2,0.0
Kevin Restani,84.6,3.5,2.6,2.2,2.1,2.0,1.8,0.5,0.0,
