Season,Team,Lg,Salary
2010-11,Indiana Pacers,NBA,"$750,000"
2011-12,Indiana Pacers,NBA,"$810,000"
2012-13,Indiana Pacers,NBA,"$870,000"
2013-14,Indiana Pacers,NBA,"$1,005,000"
2014-15,Charlotte Hornets,NBA,"$9,000,000"
2015-16,Memphis Grizzlies,NBA,"$9,000,000"
2016-17,Indiana Pacers,NBA,"$4,000,000"
2016-17,New Orleans Pelicans,NBA,"$1,227,286"
2016-17,Minnesota Timberwolves,NBA,"$144,386"
2017-18,Indiana Pacers,NBA,"$4,180,000"
2018-19,Los Angeles Lakers,NBA,"$4,449,000"
2021-22,Indiana Pacers,NBA,"$1,476,806"
2021-22,Atlanta Hawks,NBA,"$138,019"
Career,(may be incomplete),,"$37,050,497"
