0
2010-11 NBA 0.005 (33)
2011-12 NBA 0.087 (17)
2012-13 NBA 0.496 (8)
2013-14 NBA 0.026 (26)
2014-15 NBA 0.702 (5)
2015-16 NBA 0.003 (32)
2016-17 NBA 0.096 (18)
