Season,Team,Lg,Salary
2000-01,Orlando Magic,NBA,"$2,320,080"
2001-02,Orlando Magic,NBA,"$2,494,080"
2002-03,Orlando Magic,NBA,"$2,668,080"
2003-04,Memphis Grizzlies,NBA,"$3,380,457"
2004-05,Memphis Grizzlies,NBA,"$6,000,000"
2005-06,Memphis Grizzlies,NBA,"$6,750,000"
2006-07,Memphis Grizzlies,NBA,"$7,623,813"
2007-08,Memphis Grizzlies,NBA,"$8,376,194"
2008-09,Minnesota Timberwolves,NBA,"$9,028,575"
2009-10,Washington Wizards,NBA,"$9,750,000"
2010-11,Miami Heat,NBA,"$5,000,000"
2011-12,Miami Heat,NBA,"$5,400,000"
2012-13,Miami Heat,NBA,"$5,800,000"
2013-14,Memphis Grizzlies,NBA,"$1,399,507"
2014-15,Miami Heat,NBA,"$6,600,000"
2014-15,Cleveland Cavaliers,NBA,"$2,732,000"
2015-16,Portland Trail Blazers,NBA,"$2,854,940"
2015-16,Denver Nuggets,NBA,"$1,499,187"
2016-17,Denver Nuggets,NBA,"$3,500,000"
Career,(may be incomplete),,"$93,176,913"
