"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Tyler Ennis,,0.8,0.4,0.4,-0.3
Chris Corchiani,72.6,0.9,0.4,0.3,
Sebastian Telfair,69.9,0.7,0.6,0.5,-0.4
Pace Mannion,69.6,0.9,0.4,0.2,-0.2
Brandon Boston Jr.,68.9,0.7,0.4,0.2,-0.3
Mike Wilks,67.5,0.7,0.6,0.5,-0.3
Acie Law,66.6,0.7,0.6,0.4,-0.1
Garrett Temple,66.4,1.2,0.4,0.3,-0.4
Dylan Windler,66.2,0.8,0.5,0.3,0.0
Kevin McKenna,65.5,0.9,0.7,0.6,-0.3
Dahntay Jones,65.3,0.9,0.7,0.6,-0.4
