"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Mfiondu Kabengele,,0.2,0.2,0.1,
Alando Tucker,90.2,0.2,0.1,0.0,
Easy Parham,77.6,0.3,0.1,0.0,
Jackie Robinson,76.1,0.2,0.1,0.0,
Braxton Key,72.2,0.2,0.2,0.0,-0.1
Isaiah Mobley,69.3,0.2,0.0,0.0,
Chris McCullough,67.9,0.3,0.2,0.1,
Jordan Mickey,64.6,0.3,0.1,0.1,
Norvel Pelle,63.2,0.3,0.2,0.0,
Louis King,58.9,0.3,0.1,0.0,0.0
Malcolm Miller,56.7,0.3,0.2,0.2,
