Season,Team,Lg,Salary
2010-11,Memphis Grizzlies,NBA,"$2,020,200"
2011-12,New Orleans Hornets,NBA,"$2,171,640"
2012-13,New Orleans Hornets,NBA,"$2,323,200"
2014-15,Los Angeles Lakers,NBA,"$1,082,000"
Career,(may be incomplete),,"$7,597,040"
