"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Johnny O'Bryant,,0.3,0.3,0.1,-0.5
Anthony Bennett,8.1,0.5,0.3,0.1,-0.4
Johnathan Motley,-2.2,0.3,0.3,0.3,
Trevor Wilson,-2.3,0.8,0.3,0.2,-0.5
Mamadi Diakite,-3.2,0.3,0.3,0.2,0.1
Quincy Lewis,-3.7,0.3,0.3,0.1,0.0
Rayjon Tucker,-4.3,0.4,0.2,0.2,
Dragan Bender,-4.6,0.5,0.3,0.1,-0.3
Malcolm Miller,-7.0,0.3,0.2,0.2,
Juwan Morgan,-12.3,0.3,0.3,0.1,
Mark Randall,-12.8,0.5,0.3,0.2,0.0
