"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Lucas Nogueira,,3.7,1.6,0.7,0.0
Jack Toomay,91.8,3.6,1.6,1.1,
Erick Dampier,90.8,4.0,1.5,0.9,-0.1
Ian Mahinmi,89.1,3.4,1.8,0.7,0.2
Cherokee Parks,82.9,3.8,2.2,0.9,0.2
Gustavo AyÃ³n,82.2,3.2,1.2,0.7,
Mike Brown,81.8,3.7,1.4,1.0,0.7
Stanley Roberts,80.9,3.2,2.1,0.7,-0.1
Craig Raymond,79.3,4.7,1.7,1.0,0.0
Howie Schultz,78.7,3.0,2.0,0.6,
Neemias Queta,76.5,3.2,1.8,0.1,0.1
