Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2009-10,21,PHO,NBA,C,6.0,6.0,17.3,3.2,5.8,0.543,0.0,0.0,3.2,5.8,0.543,0.543,1.5,1.5,1.0,2.0,2.0,4.0,0.0,0.3,0.2,0.5,1.8,7.8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,25,POR,NBA,C,11.0,11.0,33.4,3.9,8.0,0.489,0.0,0.0,3.9,8.0,0.489,0.489,2.2,3.3,0.667,4.3,4.9,9.2,0.8,0.5,1.8,1.0,3.6,10.0,
2014-15,26,POR,NBA,C,5.0,5.0,23.4,1.8,3.0,0.6,0.0,0.0,1.8,3.0,0.6,0.6,1.6,1.6,1.0,1.8,2.6,4.4,0.6,0.2,1.0,1.0,3.0,5.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,28,CHI,NBA,C,6.0,6.0,27.0,5.7,8.7,0.654,0.0,0.0,5.7,8.7,0.654,0.654,1.3,1.3,1.0,4.7,2.5,7.2,0.8,0.5,1.0,1.3,2.2,12.7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,31,MIL,NBA,C,3.0,0.0,7.0,1.0,1.3,0.75,0.0,0.0,1.0,1.3,0.75,0.75,0.0,0.0,,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.7,2.0,
2020-21,32,WAS,NBA,C,5.0,0.0,14.6,3.6,5.0,0.72,0.0,0.0,3.6,5.0,0.72,0.72,0.2,0.8,0.25,0.8,1.0,1.8,0.0,0.0,0.8,0.2,1.4,7.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,34,CLE,NBA,C,2.0,0.0,3.0,1.5,1.5,1.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,4.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,38.0,28.0,22.4,3.4,5.8,0.581,0.0,0.0,3.4,5.8,0.581,0.581,1.4,1.8,0.776,2.7,2.7,5.4,0.4,0.3,0.9,0.8,2.4,8.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,16.0,16.0,30.3,3.3,6.4,0.505,0.0,0.0,3.3,6.4,0.505,0.505,2.0,2.8,0.727,3.5,4.2,7.7,0.8,0.4,1.6,1.0,3.4,8.5,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,6.0,6.0,27.0,5.7,8.7,0.654,0.0,0.0,5.7,8.7,0.654,0.654,1.3,1.3,1.0,4.7,2.5,7.2,0.8,0.5,1.0,1.3,2.2,12.7,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,6.0,6.0,17.3,3.2,5.8,0.543,0.0,0.0,3.2,5.8,0.543,0.543,1.5,1.5,1.0,2.0,2.0,4.0,0.0,0.3,0.2,0.5,1.8,7.8,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,0.0,14.6,3.6,5.0,0.72,0.0,0.0,3.6,5.0,0.72,0.72,0.2,0.8,0.25,0.8,1.0,1.8,0.0,0.0,0.8,0.2,1.4,7.4,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,3.0,0.0,7.0,1.0,1.3,0.75,0.0,0.0,1.0,1.3,0.75,0.75,0.0,0.0,,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.7,2.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,2.0,0.0,3.0,1.5,1.5,1.0,0.0,0.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,4.0,
