"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2009-10,21,PHO,NBA,C,6.0,6.0,104.0,0.543,3.3,1.0,0.686,0.2,0.057,0.057,0.0,0.543,0.583,0.286,0.5,1.0,0.684,0.171,6.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,25,POR,NBA,C,11.0,11.0,367.0,0.489,5.3,1.0,0.489,0.295,0.148,0.068,0.0,0.489,0.535,0.538,0.308,0.333,0.698,0.08,7.0,0.0,0.0,
2014-15,26,POR,NBA,C,5.0,5.0,117.0,0.6,5.0,1.0,0.533,0.333,0.0,0.133,0.0,0.6,0.5,0.8,,0.5,0.556,0.067,1.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-17,28,CHI,NBA,C,6.0,6.0,162.0,0.654,8.0,1.0,0.423,0.288,0.019,0.269,0.0,0.654,0.636,0.733,1.0,0.571,0.588,0.038,2.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,31,MIL,NBA,C,3.0,0.0,21.0,0.75,6.6,1.0,0.25,0.5,0.25,0.0,0.0,0.75,1.0,1.0,0.0,,0.667,0.0,0.0,0.0,0.0,
2020-21,32,WAS,NBA,C,5.0,0.0,73.0,0.72,5.7,1.0,0.24,0.64,0.12,0.0,0.0,0.72,0.667,0.75,0.667,,0.667,0.08,2.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-23,34,CLE,NBA,C,2.0,0.0,6.0,1.0,6.2,1.0,0.333,0.333,0.333,0.0,0.0,1.0,1.0,1.0,1.0,,0.667,0.0,0.0,0.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,38.0,28.0,850.0,0.581,5.7,1.0,0.473,0.324,0.095,0.108,0.0,0.581,0.581,0.639,0.429,0.542,0.651,0.081,18.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,60.0,1834.0,0.581,5.7,1.0,0.473,0.324,0.095,0.108,0.0,0.581,0.581,0.639,0.429,0.542,0.651,0.081,39.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,16.0,16.0,484.0,0.505,5.1,1.0,0.495,0.301,0.126,0.078,0.0,0.505,0.529,0.581,0.308,0.375,0.673,0.078,8.0,0.0,0.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,6.0,6.0,162.0,0.654,8.0,1.0,0.423,0.288,0.019,0.269,0.0,0.654,0.636,0.733,1.0,0.571,0.588,0.038,2.0,0.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,6.0,6.0,104.0,0.543,3.3,1.0,0.686,0.2,0.057,0.057,0.0,0.543,0.583,0.286,0.5,1.0,0.684,0.171,6.0,0.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,5.0,0.0,73.0,0.72,5.7,1.0,0.24,0.64,0.12,0.0,0.0,0.72,0.667,0.75,0.667,,0.667,0.08,2.0,0.0,0.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,3.0,0.0,21.0,0.75,6.6,1.0,0.25,0.5,0.25,0.0,0.0,0.75,1.0,1.0,0.0,,0.667,0.0,0.0,0.0,0.0,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,2.0,0.0,6.0,1.0,6.2,1.0,0.333,0.333,0.333,0.0,0.0,1.0,1.0,1.0,1.0,,0.667,0.0,0.0,0.0,0.0,
