Season,Team,Lg,Salary
2011-12,Utah Jazz,NBA,"$4,133,280"
2012-13,Utah Jazz,NBA,"$4,443,360"
2013-14,Utah Jazz,NBA,"$4,505,280"
2014-15,Oklahoma City Thunder,NBA,"$5,694,674"
2015-16,Oklahoma City Thunder,NBA,"$16,400,000"
2016-17,Oklahoma City Thunder,NBA,"$17,145,838"
2017-18,New York Knicks,NBA,"$20,566,802"
2018-19,New York Knicks,NBA,"$18,622,514"
2018-19,Portland Trail Blazers,NBA,"$653,556"
2019-20,Boston Celtics,NBA,"$4,767,000"
2020-21,Portland Trail Blazers,NBA,"$5,005,350"
2021-22,Houston Rockets,NBA,"$2,641,691"
Career,(may be incomplete),,"$104,579,345"
