"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')","('Win Shares (Best to Worst)', '17')","('Win Shares (Best to Worst)', '18')","('Win Shares (Best to Worst)', '19')","('Win Shares (Best to Worst)', '20')","('Win Shares (Best to Worst)', '21')"
Draymond Green,,11.1,8.5,8.2,6.1,4.7,4.6,4.5,4.3,3.7,3.6,3.6,1.1,0.6,,,,,,,,
Gordon Hayward,90.5,10.4,8.9,8.7,5.7,5.4,4.9,4.9,3.6,3.5,2.8,2.0,1.5,1.2,0.0,,,,,,,
Donyell Marshall,88.4,10.4,8.5,6.0,6.0,5.0,4.2,4.2,3.8,3.8,3.0,1.3,1.3,0.8,0.3,0.3,,,,,,
Christian Laettner,87.0,11.6,7.5,6.6,6.2,6.2,5.1,5.0,4.3,4.1,2.7,2.6,2.3,0.7,,,,,,,,
Nen̻,86.5,10.8,9.6,9.3,6.1,5.3,5.0,4.1,4.0,3.2,3.2,3.0,2.7,2.7,2.6,1.4,0.3,-0.1,,,,
Derrick Favors,86.1,8.3,8.0,7.9,7.1,5.1,5.1,4.4,4.2,3.0,2.9,2.7,1.4,,,,,,,,,
Kevin Willis,85.7,10.2,8.8,8.6,6.0,6.0,4.7,4.7,4.4,4.2,3.8,3.6,3.1,2.7,2.4,2.3,2.2,1.7,1.6,0.9,0.0,0.0
Derrick Coleman,85.2,9.9,9.5,6.5,5.9,5.8,5.6,5.1,4.5,4.4,3.3,2.0,1.2,0.8,-0.1,-0.2,,,,,,
Bob Boozer,84.6,11.6,10.6,9.4,5.9,5.8,5.3,3.9,3.9,3.7,2.8,1.4,,,,,,,,,,
Gerald Wallace,84.0,11.5,9.5,7.7,6.4,6.2,4.8,4.6,3.1,2.4,1.3,0.9,0.6,0.4,0.1,,,,,,,
Serge Ibaka,83.9,9.6,9.4,7.6,6.2,6.1,5.6,5.5,5.1,5.1,3.9,3.7,3.0,2.0,0.2,,,,,,,
