"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Kyle Anderson,,6.2,5.6,5.1,4.5,3.5,3.5,2.8,2.7,2.7,2.5,0.3,,,
Sam Mitchell,90.2,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2,0.9,0.6,
Glenn Robinson,89.0,6.7,4.8,4.7,4.7,4.0,3.5,3.2,3.1,2.9,1.6,0.5,,,
Matt Barnes,88.9,6.3,5.9,4.3,4.3,3.7,3.5,3.0,3.0,2.6,2.3,2.0,1.0,0.7,0.4
Chuck Person,88.6,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.9,0.0,-0.1,
P.J. Tucker,88.3,6.1,5.0,5.0,4.9,4.0,3.9,3.6,3.5,2.9,2.5,1.0,0.7,0.1,0.1
Thurl Bailey,88.1,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2,0.9,,
John Johnson,87.6,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2,0.2,,
Rod Higgins,87.4,5.9,5.7,5.3,5.0,3.8,3.7,2.5,2.0,1.4,1.3,1.0,0.1,0.0,
Rodney Rogers,87.4,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2.0,1.2,0.3,,
Terry Tyler,87.3,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2,,,
