"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Kyle Anderson,,6.2,5.6,5.1,4.5,3.5,3.5,2.8,2.7,2.7,2.5,0.3
Sam Mitchell,92.0,6.1,5.1,5.1,4.3,3.7,3.3,3.0,2.8,2.3,2.3,2.2
Johnny Newman,89.8,6.7,4.5,4.4,4.1,3.7,3.7,3.1,2.8,2.8,2.3,0.3
Jared Dudley,89.5,5.6,5.3,5.1,4.8,4.6,4.1,2.9,2.7,2.4,1.8,0.8
Thurl Bailey,89.3,6.8,6.5,5.4,4.6,4.0,3.7,3.6,3.1,2.6,2.6,1.2
Larry Smith,89.1,6.1,5.4,5.2,4.7,4.4,4.3,4.0,3.7,3.1,2.6,0.3
Chuck Person,89.0,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3.0,2.1,1.2,0.0
Glenn Robinson,89.0,6.7,4.8,4.7,4.7,4.0,3.5,3.2,3.1,2.9,1.6,0.5
John Johnson,88.0,6.2,4.9,4.6,4.3,4.0,2.7,2.5,2.3,2.1,2.1,1.2
Rodney Rogers,87.8,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2.0,1.2
Terry Tyler,87.3,6.4,5.8,5.5,5.4,4.5,3.4,2.9,2.5,1.9,1.2,1.2
