"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Drew Gooden,,8.5,6.6,6.5,4.4,3.6,3.3,2.7,1.9,1.8,1.7,1.7,1.4,0.0,-0.1
Anderson Varej̣o,87.6,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0,0.2,0.0
Ed Pinckney,86.6,7.5,6.2,6.1,4.7,4.0,3.7,2.9,2.7,2.3,1.6,0.7,0.3,,
Tristan Thompson,86.1,8.7,7.3,6.8,5.7,5.2,3.1,2.9,2.6,2.5,1.6,1.4,1.1,0.4,
Kevon Looney,85.2,8.7,6.8,6.0,4.3,4.0,3.4,2.8,1.4,0.1,0.0,,,,
Jae Crowder,84.5,7.3,6.7,4.4,4.3,3.9,3.8,3.3,2.6,2.3,1.6,1.5,1.2,0.1,
Bryon Russell,84.0,8.8,7.4,6.8,6.0,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0.0,
Matt Harpring,83.8,8.8,6.1,5.5,4.7,4.7,2.8,2.8,2.6,2.6,1.2,0.2,,,
Bo Outlaw,83.7,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,1.2,0.7,0.2
Joe Caldwell,83.6,7.9,6.7,4.4,3.7,3.7,3.3,2.5,2.3,2.0,1.1,0.3,,,
Ryan Anderson,83.5,8.9,6.5,6.4,5.2,4.8,3.9,3.5,3.1,2.5,2.3,0.0,-0.2,,
