Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2018-19,22.0,BRK,NBA,PG,1,0,12:05,2,5,0.4,2,5,0.4,0,0,,0,1,3,0,0,1,0,6
Career,,,NBA,,1,0,12,2,5,0.4,2,5,0.4,0,0,,0,1,3,0,0,1,0,6
