"('Thru 14 Years', 'Player')","('Thru 14 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Tobias Harris,,7.1,7.1,6.8,6.7,6.6,6.2,5.9,5.9,5.6,5.2,4.8,4.1,2.4,0.9
Michael Cage,90.4,8.1,7.6,7.2,6.8,6.7,6.7,6.2,5.8,4.9,4.3,3.2,2.5,2.0,1.7
Dale Davis,88.5,8.5,7.1,7.1,7.0,6.9,6.9,6.8,6.7,6.6,6.2,4.5,3.9,3.4,3.4
Charles Oakley,87.0,10.5,8.9,7.3,7.0,6.7,6.2,6.0,5.7,5.7,5.6,4.5,3.5,3.3,2.1
Thaddeus Young,86.4,7.4,6.9,6.3,6.2,5.5,5.5,5.1,4.6,4.5,4.1,3.5,3.1,2.1,1.9
Danilo Gallinari,85.9,8.2,7.2,6.8,6.3,6.3,6.1,5.6,3.9,3.9,3.7,3.6,1.3,1.2,1.0
Dave DeBusschere,84.8,7.0,6.6,6.6,6.6,6.2,5.9,5.2,4.8,4.7,3.7,3.6,0.0,,
Clifford Robinson,84.7,9.6,8.7,8.0,7.5,7.1,6.8,6.6,5.4,5.3,4.6,4.4,4.3,4.2,0.3
Maurice Lucas,84.6,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4.0,3.5,2.5,2.4,2.4,2.3
David West,83.9,9.1,8.4,8.1,7.8,7.8,7.5,7.4,5.9,5.4,5.2,4.3,2.8,2.6,0.2
Shane Battier,83.6,9.1,9.0,8.2,7.8,6.2,5.9,5.2,5.1,4.8,4.4,4.3,3.3,2.4,
