"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Greg Brown III,,0.4,0.0,-0.1,
Andre Brown,80.3,0.4,0.0,-0.1,
Ignas Brazdeikis,53.8,0.5,0.1,-0.1,
Eddie Mast,51.1,0.4,0.1,-0.2,
Bob Bigelow,40.7,0.4,0.0,0.0,0.0
Lazar Hayward,38.9,0.3,0.1,-0.1,
Dan Langhi,36.9,0.4,0.0,-0.1,-0.1
Pops Mensah-Bonsu,30.7,0.3,0.0,0.0,0.0
Scooter McCray,28.2,0.3,0.1,0.0,
Joby Wright,22.5,0.6,0.0,-0.1,
Jarrell Brantley,21.1,0.5,0.1,0.0,
