"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Shawne Williams,,2.5,1.9,1.4,0.7,0.7,0.0,-0.4
James Hardy,81.3,2.5,1.8,1.3,0.7,,,
George Lee,80.5,2.6,1.7,1.2,0.6,0.4,0.1,-0.1
Ike Diogu,80.4,2.6,1.5,1.0,0.7,0.7,0.0,
Sam Mack,79.8,2.8,1.9,1.3,1.1,0.3,0.0,-0.1
Cheick Diallo,79.3,2.6,1.9,1.3,0.5,0.1,,
Richard Anderson,77.6,2.3,2.1,1.3,1.0,0.5,0.5,
Lamar Green,77.2,2.4,2.0,1.9,0.5,0.4,0.2,
Mark Alarie,77.1,3.1,2.2,1.5,0.9,0.6,,
Chuck Terry,76.3,2.3,2.1,1.2,0.7,0.1,,
Mark Strickland,75.2,2.8,2.2,1.0,0.6,0.5,0.0,0.0
