"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2001-02,22,PHI,NBA,SF,17.0,0.0,67.0,0.0,0.0,70.0,30.0,0.0,-6.1,-8.3,4.0,3.0,0.0,2.0,3.0,4.0,1.0,0.0,
2002-03,23,TOR,NBA,PF,5.0,3.0,115.0,0.0,0.0,79.0,21.0,0.0,-3.3,3.5,4.0,1.0,9.0,1.0,4.0,6.0,2.0,3.0,
2003-04,24,NJN,NBA,PF,3.0,0.0,17.0,0.0,0.0,0.0,100.0,0.0,-94.0,-97.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,
2004-05,25,WAS,NBA,SF,14.0,0.0,152.0,0.0,0.0,62.0,38.0,0.0,-0.6,-0.4,7.0,7.0,7.0,0.0,3.0,31.0,1.0,4.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,39.0,3.0,351.0,0.0,0.0,66.0,34.0,0.0,-7.1,-5.3,15.0,11.0,16.0,4.0,11.0,41.0,4.0,10.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,738.0,0.0,0.0,66.0,34.0,0.0,-7.1,-5.3,32.0,23.0,34.0,8.0,23.0,86.0,8.0,21.0,
,,,,,,,,,,,,,,,,,,,,,,,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,17.0,0.0,67.0,0.0,0.0,70.0,30.0,0.0,-6.1,-8.3,4.0,3.0,0.0,2.0,3.0,4.0,1.0,0.0,
WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,14.0,0.0,152.0,0.0,0.0,62.0,38.0,0.0,-0.6,-0.4,7.0,7.0,7.0,0.0,3.0,31.0,1.0,4.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,5.0,3.0,115.0,0.0,0.0,79.0,21.0,0.0,-3.3,3.5,4.0,1.0,9.0,1.0,4.0,6.0,2.0,3.0,
NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),NJN (1 Yr),,3.0,0.0,17.0,0.0,0.0,0.0,100.0,0.0,-94.0,-97.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,
