Season,Team,Lg,Salary
2018-19,New York Knicks,NBA,"$3,739,920"
2019-20,New York Knicks,NBA,"$4,380,120"
2020-21,New York Knicks,NBA,"$4,588,680"
2021-22,Atlanta Hawks,NBA,"$5,845,978"
2022-23,Portland Trail Blazers,NBA,"$3,000,000"
2023-24,Utah Jazz,NBA,"$1,845,593"
2024-25,Golden State Warriors,NBA,"$263,939"
2024-25,Golden State Warriors,NBA,"$119,972"
2024-25,Golden State Warriors,NBA,"$119,972"
Career,(may be incomplete),,"$23,904,174"
