"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Moussa Diabat̩,,3.2,0.4,0.3
Barney Cable,92.3,3.3,0.4,0.1
Cal Christensen,89.4,3.2,0.4,0.0
Amir Johnson,89.3,3.0,0.5,0.2
Scott Padgett,88.0,3.5,0.4,0.1
Bruce Seals,87.1,2.9,0.6,0.3
Gary Bradds,86.6,3.4,0.5,0.0
Andray Blatche,85.8,3.0,0.5,0.1
Tom Marshall,85.1,3.5,0.7,0.2
Rowland Garrett,84.0,3.1,0.5,-0.1
Tony Bradley,83.4,3.3,0.1,0.0
