"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Dan Dickau,,3.5,1.5,0.4,0.4,0.0,0.0
Ryan Arcidiacono,81.3,3.7,1.4,0.9,0.3,0.1,-0.2
Tyus Edney,81.2,3.3,1.5,1.5,0.5,,
Al McGuire,80.5,3.4,1.9,0.1,,,
Jim Thomas,80.2,3.5,1.6,0.0,-0.1,,
Cameron Payne,80.1,3.6,1.4,0.8,0.5,0.5,-0.3
Ronnie Lester,79.6,3.9,1.7,0.7,0.2,0.0,-0.2
Ennis Whatley,79.4,3.3,1.9,0.8,0.0,0.0,0.0
Robert Smith,78.8,2.9,1.4,0.8,0.6,0.0,0.0
Jeff Judkins,78.6,3.0,1.8,0.7,0.6,0.2,
Anthony Goldwire,78.3,3.0,1.7,0.3,0.1,0.1,-0.1
