"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Fred Jones,,4.8,4.0,2.6,2.2,1.6,1.2,0.0,,,,,
Al Wood,88.8,4.4,4.2,2.5,2.3,1.0,0.9,,,,,,
Coby White,87.2,4.7,4.5,3.1,2.4,2.4,0.9,,,,,,
Todd Day,86.2,4.8,3.2,2.6,2.5,2.1,1.9,0.3,0.1,,,,
Doug West,85.5,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
T.J. Ford,84.9,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,,,,
Daniel Gibson,84.8,4.1,3.8,2.6,2.4,2.0,0.5,0.5,,,,,
De'Anthony Melton,84.7,4.2,3.7,2.2,2.1,1.7,0.2,0.0,,,,,
Fred Carter,84.6,4.7,3.3,2.3,1.8,1.3,1.3,0.4,-0.3,,,,
Keldon Johnson,84.6,4.9,3.3,3.2,3.0,1.3,1.1,,,,,,
Winston Garland,84.5,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,,,,
