"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Alton Ford,,0.8,0.1,-0.1
Brian Quinnett,93.1,0.8,0.1,-0.1
Mel Bennett,86.9,0.7,0.1,-0.1
Joey Dorsey,86.3,0.8,0.1,0.0
Linton Townes,75.6,0.7,0.0,-0.1
Haywood Highsmith,75.3,0.9,0.1,0.0
Samardo Samuels,74.2,0.7,0.0,-0.1
Eddie Lee Wilkins,74.2,0.8,0.3,-0.1
Justin Champagnie,71.6,0.8,0.3,0.0
Okaro White,70.4,0.6,0.2,0.0
Reggie Slater,68.1,0.8,0.4,-0.1
