Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2001-02,20,PHO,NBA,PF,53.0,0.0,8.5,1.2,2.2,0.517,0.0,0.0,1.2,2.2,0.517,0.517,0.8,1.1,0.737,0.6,1.4,2.0,0.1,0.1,0.1,0.6,1.9,3.1,
2002-03,21,PHO,NBA,PF,11.0,0.0,2.8,0.3,0.8,0.333,0.0,0.0,0.3,0.8,0.333,0.333,0.1,0.3,0.333,0.0,0.5,0.5,0.1,0.0,0.0,0.2,0.6,0.6,
2003-04,22,HOU,NBA,PF,9.0,0.0,4.6,0.7,1.2,0.545,0.0,0.0,0.7,1.2,0.545,0.545,0.3,0.7,0.5,0.3,0.9,1.2,0.3,0.0,0.1,0.3,1.0,1.7,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,73.0,0.0,7.2,1.0,1.9,0.507,0.0,0.0,1.0,1.9,0.507,0.507,0.6,0.9,0.697,0.5,1.2,1.7,0.2,0.1,0.1,0.5,1.6,2.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,64.0,0.0,7.5,1.0,2.0,0.504,0.0,0.0,1.0,2.0,0.504,0.504,0.7,0.9,0.717,0.5,1.3,1.8,0.1,0.1,0.1,0.5,1.7,2.7,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,9.0,0.0,4.6,0.7,1.2,0.545,0.0,0.0,0.7,1.2,0.545,0.545,0.3,0.7,0.5,0.3,0.9,1.2,0.3,0.0,0.1,0.3,1.0,1.7,
