"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Deandre Ayton,,8.4,7.3,6.2,5.8,3.9,3.1,2.8,,,,
Mitchell Robinson,90.6,8.5,6.8,6.5,6.1,3.4,2.5,1.3,,,,
Elmore Smith,89.6,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,
Tom Boerwinkle,87.0,9.0,7.4,6.3,4.4,3.8,2.6,2.3,1.7,0.5,0.2,
Andrew Bynum,86.0,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1,,,
Chuck Share,85.5,8.6,8.1,6.7,4.7,4.2,4.0,3.3,1.3,1.0,,
Ray Felix,85.4,8.6,7.2,5.8,5.5,5.5,2.3,2.0,1.8,0.8,,
Emeka Okafor,83.7,8.2,7.1,6.5,5.8,5.5,4.5,4.0,1.7,1.0,1.0,
Rony Seikaly,82.6,6.8,6.7,6.5,6.2,3.2,3.0,2.7,2.3,0.7,-0.3,-0.5
Daniel Gafford,82.5,7.8,6.1,6.0,5.9,3.5,1.9,,,,,
DeMarcus Cousins,79.8,7.9,7.6,6.0,5.7,4.7,4.4,4.2,2.4,1.6,1.2,1.1
