"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Trae Young,,10.0,7.2,6.7,5.9,5.7,4.6,3.3
Norm Nixon,94.6,9.6,6.7,6.6,5.5,5.4,4.5,3.9
George Hill,93.1,9.7,7.8,6.7,6.1,5.4,4.0,2.1
Vern Fleming,92.2,8.4,7.0,6.9,6.7,5.6,4.4,3.3
Tom Gola,92.1,9.9,7.4,7.1,6.8,6.5,4.4,4.4
Byron Scott,91.9,10.7,7.7,6.9,6.8,6.0,5.2,2.7
Alvin Robertson,91.4,8.6,7.7,7.5,5.8,5.3,4.4,3.1
Mitch Richmond,91.2,8.0,7.1,6.4,5.6,5.2,4.9,3.1
Donovan Mitchell,91.1,8.9,7.2,6.4,6.2,5.4,5.2,5.0
Ron Boone,91.0,9.7,8.3,5.9,5.8,5.1,4.0,2.8
Rod Strickland,90.7,9.3,8.5,7.4,5.7,5.2,4.3,3.7
