"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Martell Webster,,6.3,5.0,4.4,3.5,1.8,1.5,1.3,0.9,0.0,0.0
Delonte West,89.7,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,,
Quinn Buckner,87.6,5.4,4.6,4.4,3.2,2.0,1.6,1.5,1.3,0.5,0.2
Monte Morris,87.3,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,
Chris Duhon,86.6,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1.0,0.2,
Isaiah Rider,85.9,5.8,5.0,3.4,2.5,1.9,1.7,1.6,0.8,0.2,
Anthony Parker,85.0,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0.0,
Craig Hodges,84.7,6.0,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5
Patty Mills,84.5,5.6,5.1,4.8,4.1,3.5,1.5,1.4,0.9,0.7,0.0
D'Angelo Russell,84.4,5.1,5.1,5.0,4.4,1.9,1.8,1.6,1.3,0.4,0.0
Earl Boykins,84.2,6.0,4.5,4.1,3.5,2.9,1.0,0.8,0.3,0.0,-0.3
