"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2014-15,23,CLE,NBA,PF,20.0,15.0,727.0,0.558,0.558,,0.558,0.585,0.582,0.636,0.0,124.0,115.0,,113.0,78.0,109.0,233.0,0.0,
2015-16,24,CLE,NBA,PF,21.0,21.0,622.0,0.527,0.527,,0.527,0.575,0.559,0.785,0.0,117.0,107.0,,105.0,76.0,103.0,284.0,0.0,
2016-17,25,CLE,NBA,C,18.0,18.0,562.0,0.587,0.587,,0.587,0.667,0.625,0.652,0.0,128.0,117.0,,114.0,86.0,113.0,241.0,0.0,
2017-18,26,CLE,NBA,C,19.0,11.0,416.0,0.59,0.598,0.0,0.59,0.741,0.622,0.325,0.012,128.0,117.0,0.0,113.0,97.0,112.0,129.0,4.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,29,BOS,NBA,C,5.0,5.0,132.0,0.588,0.588,,0.588,0.706,0.627,0.5,0.0,126.0,111.0,,109.0,91.0,110.0,203.0,0.0,
2021-22,30,CHI,NBA,C,5.0,0.0,38.0,0.4,0.4,,0.4,,0.4,0.0,0.0,87.0,75.0,,75.0,,71.0,0.0,0.0,
2022-23,31,LAL,NBA,C,6.0,0.0,32.0,0.455,0.455,,0.455,0.2,0.417,0.455,0.0,96.0,83.0,,83.0,26.0,72.0,171.0,0.0,
2023-24,32,CLE,NBA,C,10.0,0.0,87.0,0.438,0.438,,0.438,0.5,0.444,0.125,0.0,92.0,80.0,,80.0,64.0,77.0,51.0,0.0,
2024-25,33,CLE,NBA,C,3.0,0.0,29.0,0.5,0.5,,0.5,0.333,0.478,0.5,0.0,107.0,92.0,,92.0,43.0,83.0,206.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,107.0,70.0,2645.0,0.557,0.558,0.0,0.557,0.613,0.585,0.574,0.002,120.0,111.0,0.0,109.0,81.0,107.0,214.0,1.0,
,,,,,,,,,,,,,,,,,,,,,,,,
CLE (6 Yrs),CLE (6 Yrs),CLE (6 Yrs),CLE (6 Yrs),,91.0,65.0,2443.0,0.558,0.56,0.0,0.558,0.615,0.587,0.589,0.002,121.0,112.0,0.0,110.0,81.0,108.0,218.0,1.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,6.0,0.0,32.0,0.455,0.455,,0.455,0.2,0.417,0.455,0.0,96.0,83.0,,83.0,26.0,72.0,171.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,5.0,5.0,132.0,0.588,0.588,,0.588,0.706,0.627,0.5,0.0,126.0,111.0,,109.0,91.0,110.0,203.0,0.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,5.0,0.0,38.0,0.4,0.4,,0.4,,0.4,0.0,0.0,87.0,75.0,,75.0,,71.0,0.0,0.0,
