Season,Team,Lg,Salary
2011-12,Cleveland Cavaliers,NBA,"$3,726,600"
2012-13,Cleveland Cavaliers,NBA,"$4,006,080"
2013-14,Cleveland Cavaliers,NBA,"$4,062,000"
2014-15,Cleveland Cavaliers,NBA,"$5,138,430"
2015-16,Cleveland Cavaliers,NBA,"$14,260,870"
2016-17,Cleveland Cavaliers,NBA,"$15,330,435"
2017-18,Cleveland Cavaliers,NBA,"$16,400,000"
2018-19,Cleveland Cavaliers,NBA,"$17,469,565"
2019-20,Cleveland Cavaliers,NBA,"$18,539,130"
2020-21,Boston Celtics,NBA,"$9,258,000"
2021-22,Indiana Pacers,NBA,"$8,946,611"
2021-22,Chicago Bulls,NBA,"$1,000,000"
2022-23,Los Angeles Lakers,NBA,"$10,552"
2023-24,Cleveland Cavaliers,NBA,"$2,019,706"
2024-25,Cleveland Cavaliers,NBA,"$2,087,519"
Career,(may be incomplete),,"$122,255,498"
