"('Thru 13 Years', 'Player')","('Thru 13 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Tristan Thompson,,8.7,7.3,6.8,5.7,5.2,3.1,2.9,2.6,2.5,1.6,1.4,1.1,0.4
Bryon Russell,94.0,8.8,7.4,6.8,6.0,5.6,2.6,2.3,2.2,2.1,1.5,1.4,0.8,0.0
Udonis Haslem,90.1,9.2,7.0,6.0,5.7,5.1,4.8,3.5,3.2,2.5,1.4,1.1,0.9,0.4
Bo Outlaw,90.1,7.9,7.6,6.8,6.1,4.4,3.6,3.5,2.5,2.3,2.3,1.8,0.7,0.2
Scott Wedman,88.4,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1
Dwight Powell,88.2,8.2,7.5,6.6,5.1,4.6,3.8,3.6,3.1,3.1,1.7,0.6,,
Trevor Ariza,88.0,8.0,6.6,6.1,6.0,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
Anderson Varej̣o,87.6,8.1,8.0,6.6,5.4,3.3,3.0,2.4,2.3,2.2,2.1,1.9,1.0,0.2
Kelly Tripucka,87.1,7.5,7.5,7.1,5.7,4.2,3.3,3.3,2.1,2.0,1.7,,,
Julius Randle,87.0,8.1,7.8,6.6,6.2,6.1,3.8,3.5,3.1,2.7,1.6,-0.1,,
Josh Smith,86.8,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0.0,0.0
