"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2014-15,23,CLE,NBA,PF,20.0,15.0,727.0,0.558,3.8,1.0,0.535,0.395,0.054,0.016,0.0,0.558,0.667,0.412,0.429,1.0,,0.625,0.217,24.0,,0.0,0.0,
2015-16,24,CLE,NBA,PF,21.0,21.0,622.0,0.527,2.6,1.0,0.699,0.269,0.011,0.022,0.0,0.527,0.6,0.32,0.0,1.0,,0.633,0.269,22.0,,0.0,0.0,
2016-17,25,CLE,NBA,C,18.0,18.0,562.0,0.587,2.6,1.0,0.696,0.293,0.011,0.0,0.0,0.587,0.672,0.37,1.0,,,0.667,0.283,22.0,,0.0,0.0,
2017-18,26,CLE,NBA,C,19.0,11.0,416.0,0.59,3.9,0.988,0.602,0.301,0.072,0.012,0.012,0.598,0.72,0.44,0.333,0.0,0.0,0.755,0.169,13.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-21,29,BOS,NBA,C,5.0,5.0,132.0,0.588,1.9,1.0,0.765,0.235,0.0,0.0,0.0,0.588,0.538,0.75,,,,0.45,0.206,7.0,,0.0,0.0,
2021-22,30,CHI,NBA,C,5.0,0.0,38.0,0.4,3.3,1.0,0.4,0.6,0.0,0.0,0.0,0.4,0.5,0.333,,,,0.5,0.0,0.0,,0.0,0.0,
2022-23,31,LAL,NBA,C,6.0,0.0,32.0,0.455,3.1,1.0,0.455,0.545,0.0,0.0,0.0,0.455,0.4,0.5,,,,0.8,0.455,5.0,,0.0,0.0,
2023-24,32,CLE,NBA,C,10.0,0.0,87.0,0.438,4.6,1.0,0.375,0.5,0.125,0.0,0.0,0.438,0.5,0.375,0.5,,,0.714,0.25,3.0,,0.0,0.0,
2024-25,33,CLE,NBA,C,3.0,0.0,29.0,0.5,4.9,1.0,0.333,0.5,0.167,0.0,0.0,0.5,0.5,0.333,1.0,,,0.667,0.0,0.0,,0.0,0.0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,107.0,70.0,2645.0,0.557,3.4,0.998,0.616,0.333,0.038,0.011,0.002,0.558,0.64,0.41,0.444,0.8,0.0,0.651,0.232,96.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,54.0,2027.0,0.557,3.4,0.998,0.616,0.333,0.038,0.011,0.002,0.558,0.64,0.41,0.444,0.8,0.0,0.651,0.232,74.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLE (6 Yrs),CLE (6 Yrs),CLE (6 Yrs),CLE (6 Yrs),,91.0,65.0,2443.0,0.558,3.7,0.998,0.611,0.332,0.043,0.012,0.002,0.56,0.656,0.388,0.444,0.8,0.0,0.667,0.232,84.0,0.0,1.0,0.0,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,6.0,0.0,32.0,0.455,3.1,1.0,0.455,0.545,0.0,0.0,0.0,0.455,0.4,0.5,,,,0.8,0.455,5.0,,0.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,5.0,5.0,132.0,0.588,1.9,1.0,0.765,0.235,0.0,0.0,0.0,0.588,0.538,0.75,,,,0.45,0.206,7.0,,0.0,0.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,5.0,0.0,38.0,0.4,3.3,1.0,0.4,0.6,0.0,0.0,0.0,0.4,0.5,0.333,,,,0.5,0.0,0.0,,0.0,0.0,
