"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Evan Mobley,,9.0,8.5,5.5,5.2,,,,,,,
Julian Hammond,79.5,6.7,6.6,5.7,5.1,0.8,,,,,,
Fred Schaus,79.1,8.5,8.4,6.8,4.0,3.7,,,,,,
Isaiah Hartenstein,78.6,8.1,6.8,5.5,4.6,1.6,1.1,0.5,,,,
Goose Ligon,77.7,9.9,9.7,6.5,6.3,2.4,1.0,0.3,,,,
John Shumate,76.6,7.7,6.5,6.3,3.5,0.5,,,,,,
Leo Mogus,75.8,8.0,7.7,5.0,1.2,,,,,,,
Don Sidle,75.1,9.7,5.9,5.6,1.9,,,,,,,
Doug Moe,74.8,9.4,5.2,4.8,4.3,1.8,,,,,,
Otto Porter Jr.,74.6,9.4,8.1,5.6,4.9,3.2,2.7,1.3,0.8,0.4,0.3,0.0
Onyeka Okongwu,73.6,7.2,7.1,4.5,4.2,1.9,,,,,,
