"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')"
Troy Murphy,,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.7,1.4,1.3,0.3,0.3,
Wally Szczerbiak,92.3,8.7,8.0,7.4,7.3,6.2,5.2,4.5,2.9,1.6,1.6,,,
Mike Mitchell,89.9,8.3,7.6,6.0,6.0,5.9,5.5,4.4,3.6,2.4,0.4,,,
Greg Ballard,89.4,9.4,7.9,6.9,6.9,6.0,5.6,3.9,3.6,2.0,1.7,0.0,,
Bob Love,88.8,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2,,
Julius Randle,88.7,8.1,7.8,6.6,6.2,6.1,3.8,3.5,3.1,2.7,1.6,-0.1,,
Danny Granger,88.6,8.0,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,,,
Scott Wedman,87.8,8.6,7.8,7.1,6.0,4.9,4.8,4.7,2.7,2.2,2.2,1.6,1.2,-0.1
Truck Robinson,87.2,7.6,7.3,6.9,6.5,6.0,5.1,4.3,3.3,3.2,2.7,-0.1,,
Bob Netolicky,87.1,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,,,
Rodney McCray,86.7,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5,0.9,,,
