Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2010-11,30,BOS,NBA,PF,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,114.0,
2011-12,31,LAL,NBA,PF,4.0,0.0,15.0,3.6,3.6,1.0,3.6,3.6,1.0,0.0,0.0,1.5,0.0,0.0,0.0,10.8,10.8,0.0,0.0,0.0,7.2,0.0,10.8,61.0,112.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,5.0,0.0,18.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,1.5,0.0,0.0,3.0,9.0,12.0,0.0,0.0,0.0,6.0,0.0,9.0,78.0,112.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),LAL (1 Yr),,4.0,0.0,15.0,3.6,3.6,1.0,3.6,3.6,1.0,0.0,0.0,1.5,0.0,0.0,0.0,10.8,10.8,0.0,0.0,0.0,7.2,0.0,10.8,61.0,112.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,114.0,
