Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,25.0,GSW,NBA,PG,1.0,1.0,27:36,4.0,14.0,0.286,2.0,11.0,0.182,2.0,2.0,1.0,1.0,3.0,11.0,1.0,0.0,2.0,1.0,12.0
2014-15,26.0,GSW,NBA,PG,1.0,1.0,26:36,6.0,16.0,0.375,3.0,10.0,0.3,0.0,0.0,,4.0,9.0,5.0,1.0,0.0,5.0,1.0,15.0
2015-16,27.0,GSW,NBA,PG,1.0,1.0,28:50,10.0,18.0,0.556,6.0,13.0,0.462,0.0,0.0,,1.0,5.0,6.0,4.0,0.0,2.0,1.0,26.0
2016-17,28.0,GSW,NBA,PG,1.0,1.0,28:18,8.0,16.0,0.5,5.0,11.0,0.455,0.0,0.0,,1.0,4.0,6.0,1.0,0.0,0.0,3.0,21.0
2017-18,29.0,GSW,NBA,PG,1.0,1.0,26:35,4.0,14.0,0.286,3.0,11.0,0.273,0.0,0.0,,2.0,6.0,5.0,1.0,0.0,6.0,0.0,11.0
2018-19,30.0,GSW,NBA,PG,1.0,1.0,29:25,6.0,23.0,0.261,4.0,17.0,0.235,1.0,1.0,1.0,1.0,9.0,7.0,0.0,0.0,2.0,0.0,17.0
2020-21,32.0,GSW,NBA,PG,1.0,1.0,22:00,10.0,19.0,0.526,8.0,16.0,0.5,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,1.0,0.0,28.0
2021-22,33.0,GSW,NBA,PG,1.0,1.0,36:15,17.0,30.0,0.567,16.0,27.0,0.593,0.0,0.0,,1.0,5.0,2.0,1.0,2.0,5.0,1.0,50.0
2022-23,34.0,GSW,NBA,PG,,,,,,,,,,,,,,,,,,,,
2023-24,35.0,GSW,NBA,PG,1.0,0.0,25:50,6.0,17.0,0.353,4.0,13.0,0.308,0.0,0.0,,2.0,5.0,8.0,0.0,1.0,2.0,0.0,16.0
2024-25,36.0,GSW,NBA,PG,1.0,1.0,12:54,3.0,9.0,0.333,2.0,8.0,0.25,0.0,0.0,,1.0,6.0,1.0,1.0,0.0,1.0,0.0,8.0
2024-25,36.0,GSW,NBA,PG,1.0,1.0,10:40,4.0,8.0,0.5,4.0,8.0,0.5,0.0,0.0,,1.0,4.0,1.0,2.0,0.0,2.0,0.0,12.0
Career,,,NBA,,11.0,10.0,275,78.0,184.0,,57.0,145.0,,3.0,3.0,,15.0,60.0,56.0,14.0,3.0,28.0,7.0,216.0
