0
2009-10 NBA 166 (6th)
2010-11 NBA 151 (10th)
2012-13 NBA 272 (1st)
2013-14 NBA 261 (1st)
2014-15 NBA 286 (1st)
2015-16 NBA 402 (1st)
2016-17 NBA 324 (1st)
2017-18 NBA 212 (9th)
2018-19 NBA 354 (2nd)
2020-21 NBA 337 (1st)
2021-22 NBA 285 (1st)
2022-23 NBA 273 (3rd)
2023-24 NBA 357 (1st)
2024-25 NBA 311 (3rd)
2025-26 NBA 58 (1st)
Active 4116 (1st)
Career 4116 (1st)
Career NBA 4116 (1st)
Career Playoffs 650 (1st)
Career NBA Playoffs 650 (1st)
Career (Reg+Playoffs) 4766 (1st)
Career NBA (Reg+Playoffs) 4766 (1st)
