"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Chris Mihm,,4.0,3.6,2.9,1.3,0.9,0.7,0.1,0.0,,,,
DeSagana Diop,89.5,4.1,3.8,3.0,1.4,1.0,0.4,0.0,-0.1,-0.1,-0.2,-0.2,-0.3
Lee Davis,80.9,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,,,,
Hank Finkel,80.0,3.4,3.4,2.3,1.2,1.0,0.9,0.9,0.4,0.0,,,
Rick Roberson,79.8,3.6,3.5,3.2,3.0,1.0,0.4,0.0,,,,,
Miles Plumlee,78.3,4.0,2.6,2.2,0.9,0.5,0.5,0.0,,,,,
George Peeples,78.0,4.1,3.2,2.1,1.5,0.2,0.0,,,,,,
Dan Gadzuric,77.8,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0,,
Joel Anthony,77.4,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,,
Leon Douglas,77.0,3.6,3.2,3.1,2.1,2.1,1.0,0.0,,,,,
Jake Voskuhl,76.5,3.3,2.7,2.5,1.7,1.0,0.6,0.2,0.0,-0.3,,,
