"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Jon Brockman,,1.9,1.7,0.1
Anthony Roberts,97.1,1.9,1.7,0.1
Mike Muscala,95.6,1.9,1.6,0.2
Solomon Jones,92.9,1.9,1.6,0.0
Terry Driscoll,92.1,1.7,1.7,0.3
Donnell Harvey,91.4,2.0,1.8,0.1
Rasual Butler,90.5,1.7,1.6,0.1
Lamar Stevens,90.3,1.9,1.6,0.4
Oshae Brissett,88.0,2.2,1.8,0.1
Simone Fontecchio,87.2,2.1,1.6,-0.1
Russ Schoene,87.1,1.8,1.7,-0.2
