"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Rodions Kurucs,,1.6,0.8,-0.1,
Chris McNealy,89.2,1.6,0.8,0.2,
Ron Riley,86.7,1.6,0.7,0.2,0.0
Derrick Alston,86.3,1.7,1.0,-0.1,
Lou Tsioropoulos,84.7,1.4,0.7,0.0,
T.J. Leaf,84.4,1.6,0.8,0.3,0.0
Derrick Chievous,84.0,1.6,1.2,-0.1,
Kevin Loder,83.6,1.5,0.9,0.1,
Ish Wainright,82.2,1.7,0.6,0.0,
Dennis Wuycik,81.1,1.4,0.9,-0.1,
Brian Rowsom,81.0,1.5,1.0,0.0,
