"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Patrick Williams,,3.5,2.5,1.2,0.9,0.4,,,
George Trapp,88.9,3.5,2.4,1.5,1.0,0.1,-0.2,,
Lee Nailon,88.4,3.5,2.2,0.9,0.7,0.5,0.3,,
Darren Daye,88.3,3.8,2.4,1.3,1.2,0.6,,,
Greg Kelser,87.3,3.9,2.5,1.4,0.8,0.1,0.0,,
James Singleton,87.1,3.0,2.3,1.1,1.0,0.7,,,
Mark Alarie,86.0,3.1,2.2,1.5,0.9,0.6,,,
Ime Udoka,85.5,3.9,2.8,1.3,0.8,0.0,0.0,0.0,
Tony Bradley,84.1,3.3,2.7,1.3,0.4,0.2,0.1,0.0,
Ira Newble,83.9,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
Joey Graham,83.7,3.0,2.2,1.3,1.1,0.3,0.0,,
