"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Coby White,,4.7,4.5,3.1,2.4,2.4,0.9
Tom Henderson,96.2,4.7,4.5,3.1,2.4,2.1,1.3
Spud Webb,91.5,5.4,4.5,3.5,2.3,2.2,1.2
Norman Powell,91.3,4.7,4.6,2.8,2.4,1.6,0.6
Ernie Grunfeld,90.8,4.3,4.3,3.5,2.5,2.2,1.4
Chucky Atkins,90.7,5.1,4.5,2.8,2.7,2.4,1.5
Henry Bibby,90.7,4.7,4.1,2.9,2.3,1.5,1.0
John Roche,90.3,4.8,4.2,4.1,2.5,2.3,0.5
Bill Hanzlik,89.5,4.7,4.1,2.4,2.2,1.9,1.0
T.J. Ford,89.4,4.3,4.3,3.3,2.5,1.4,0.7
Bob Warren,88.7,4.9,4.8,4.0,2.3,1.6,0.9
