"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Montrezl Harrell,,8.7,7.3,7.3,7.0,5.5,4.1,2.2,0.9,,,
Cincy Powell,91.5,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,,
Mikal Bridges,89.4,8.9,8.0,7.5,5.7,4.8,4.2,2.9,,,,
Jim McMillian,89.1,8.9,7.9,7.8,6.4,6.0,3.4,2.6,2.5,0.5,,
Bob Netolicky,88.4,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,
Sidney Wicks,88.3,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,
Charles Smith,86.6,9.4,7.4,6.6,4.8,4.4,4.0,2.4,1.9,0.0,,
Raef LaFrentz,86.5,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,
Jamal Mashburn,85.1,9.0,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Josh Howard,85.0,8.8,8.0,6.7,6.4,3.5,3.2,1.0,0.5,0.0,-0.2,
Danny Granger,83.9,8.0,7.3,6.9,6.7,6.5,6.2,5.1,1.3,0.6,-0.1,
