"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Guerschon Yabusele,,3.9,0.6,0.5
Caleb Martin,96.8,4.0,0.5,0.5
Archie Dees,93.2,3.7,0.7,0.4
Richard Dumas,89.9,3.9,0.3,0.3
Chris Boucher,87.2,3.8,0.7,0.0
Tom Marshall,82.5,3.5,0.7,0.2
Kurt Thomas,81.8,3.8,0.5,-0.2
Cedric Henderson,80.4,3.8,0.5,-0.2
Ben Warley,80.3,3.8,1.5,0.5
Nick Richards,80.2,4.2,1.0,0.0
Scott Padgett,80.0,3.5,0.4,0.1
