"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2011-12,22,PHI,NBA,PF,12.0,1.0,236.0,0.557,0.557,0.557,0.583,0.566,0.197,0.0,124.0,117.0,114.0,78.0,107.0,71.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2013-14,24,IND,NBA,PF,4.0,0.0,15.0,0.5,0.5,0.5,,0.5,0.0,0.0,110.0,103.0,100.0,,92.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2015-16,26,IND,NBA,PF,6.0,3.0,51.0,0.3,0.3,0.3,,0.3,0.0,0.0,66.0,61.0,60.0,,55.0,0.0,0.0,
2016-17,27,IND,NBA,PF,3.0,0.0,11.0,,,,,,,,,,,,,,,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,25.0,4.0,313.0,0.52,0.52,0.52,0.583,0.529,0.16,0.0,115.0,109.0,106.0,78.0,100.0,58.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),IND (3 Yrs),,13.0,3.0,77.0,0.357,0.357,0.357,,0.357,0.0,0.0,79.0,73.0,71.0,,66.0,0.0,0.0,
PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,12.0,1.0,236.0,0.557,0.557,0.557,0.583,0.566,0.197,0.0,124.0,117.0,114.0,78.0,107.0,71.0,0.0,
