"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Jahlil Okafor,,2.2,1.3,1.2,1.2,0.6,0.6,0.0,,,,,
Charles Shackleford,77.8,2.7,1.5,0.9,0.8,0.8,0.7,,,,,,
John Lambert,77.7,1.8,1.5,1.0,0.9,0.7,0.6,0.4,,,,,
Aaron Gray,75.1,1.4,1.3,1.1,0.9,0.8,0.5,0.1,,,,,
Hub Reed,71.7,2.8,2.0,1.7,1.3,1.0,0.6,0.0,,,,,
Sandro Mamukelashvili,71.6,2.2,1.1,1.0,0.9,,,,,,,,
Calvin Booth,71.0,2.2,2.1,1.0,0.8,0.6,0.5,0.4,0.3,0.1,0.1,,
Greg Kite,71.0,2.0,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0.0,-0.1,-0.3
Cole Aldrich,69.6,3.5,2.2,1.3,1.2,0.6,0.6,0.2,0.0,,,,
Eric Leckner,68.2,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,,,,
Jake Tsakalidis,67.7,2.8,2.8,1.3,1.2,0.9,0.6,0.3,,,,,
