"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Casey Jacobsen,,2.7,2.6,1.2,-0.3
Freddie Crawford,86.8,2.7,2.2,1.6,-0.2
Andrew Nembhard,85.4,2.8,2.0,1.2,
Louie Nelson,85.3,2.9,2.3,1.1,0.0
Bob Hansen,84.7,2.6,2.5,0.7,-0.1
Furkan Korkmaz,84.4,2.8,2.0,1.1,0.0
Tex Ritter,83.1,2.4,2.3,1.0,
Sedale Threatt,81.7,2.5,2.1,1.3,0.1
Haywoode Workman,81.6,2.8,2.5,1.9,0.1
Terry Furlow,81.2,3.3,2.8,1.1,0.0
Bobby Jackson,80.8,3.1,2.2,1.2,-0.6
