"('Thru 15 Years', 'Player')","('Thru 15 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
George Hill,,9.7,7.8,6.7,6.2,6.1,5.9,5.5,5.4,4.0,3.2,2.8,2.3,2.1,1.9,1.4
Byron Scott,92.0,10.7,7.7,6.9,6.8,6.6,6.0,6.0,5.2,4.1,3.9,3.3,3.1,2.7,2.3,
Reggie Theus,91.5,9.2,6.9,6.5,6.4,6.2,5.9,5.3,4.7,4.6,3.7,3.2,2.5,1.8,,
Ron Harper,90.7,10.2,7.2,6.3,6.0,5.7,5.6,4.2,4.0,3.9,3.5,2.9,2.4,1.8,1.2,0.9
Fred Brown,90.3,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,2.6,-0.9,,
Brent Barry,89.5,12.1,7.5,7.3,6.8,6.1,5.8,5.7,4.9,4.3,2.7,2.3,2.1,1.6,1.5,
Rolando Blackman,88.7,9.8,8.0,7.3,7.0,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4,,
Mike Bibby,88.3,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,4.0,2.1,1.3,0.7,
Dan Majerle,87.5,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.6,2.5,2.1,
David Wesley,87.5,7.6,7.0,6.3,6.1,6.1,5.8,5.2,4.8,3.6,2.8,2.6,2.6,0.6,0.3,
Joe Johnson,87.4,8.4,7.6,7.6,7.0,6.4,6.0,5.1,5.1,4.9,4.2,4.1,3.3,3.0,2.8,2.7
