"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Goga Bitadze,,5.8,3.7,1.9,1.5,1.3,0.7,,,,,
Jerome Whitehead,85.0,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1
Dan Gadzuric,84.7,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1,0.1,0.0,
Melvin Turpin,83.7,6.0,3.1,2.1,1.8,0.8,,,,,,
Fabricio Oberto,83.2,6.1,4.1,1.7,1.1,0.6,0.0,,,,,
Rick Robey,82.9,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6,,,
Zaid Abdul-Aziz,82.7,6.5,3.7,2.0,1.9,1.8,1.0,0.6,0.3,0.1,-0.3,
Lee Davis,80.1,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1,,,
Dean Garrett,80.0,6.2,2.9,2.2,1.9,1.0,-0.1,,,,,
Marc Jackson,75.2,4.6,2.6,2.0,1.3,1.2,0.7,0.6,,,,
Timofey Mozgov,74.1,5.7,4.5,3.7,1.1,1.1,0.7,0.6,0.4,,,
