Season,Team,Lg,Salary
2005-06,Milwaukee Bucks,NBA,"$398,762"
2006-07,Milwaukee Bucks,NBA,"$664,209"
2009-10,Milwaukee Bucks,NBA,"$2,100,000"
2010-11,Milwaukee Bucks,NBA,"$2,320,500"
2011-12,Milwaukee Bucks,NBA,"$2,541,000"
2012-13,Milwaukee Bucks,NBA,"$7,900,000"
2013-14,Milwaukee Bucks,NBA,"$7,900,000"
2014-15,Detroit Pistons,NBA,"$7,900,000"
2015-16,Orlando Magic,NBA,"$7,900,000"
2016-17,Atlanta Hawks,NBA,"$8,400,000"
2017-18,Atlanta Hawks,NBA,"$5,434,282"
2017-18,Philadelphia 76ers,NBA,"$357,454"
2018-19,Milwaukee Bucks,NBA,"$7,000,000"
2019-20,Milwaukee Bucks,NBA,"$7,000,000"
2020-21,Utah Jazz,NBA,"$754,783"
2021-22,Chicago Bulls,NBA,"$151,821"
Career,(may be incomplete),,"$68,722,811"
