Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2025-26,22,CHI,NBA,C,2,0,23,2.0,8.1,0.25,0.0,2.0,0.0,2.0,6.1,0.333,0.25,0.0,0.0,2.0,12.1,14.1,4.0,0.0,0.0,4.0,12.1,4.0,62,119,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,23,2.0,8.1,0.25,0.0,2.0,0.0,2.0,6.1,0.333,0.25,0.0,0.0,2.0,12.1,14.1,4.0,0.0,0.0,4.0,12.1,4.0,62,119,
