"('Thru 11 Years', 'Player')","('Thru 11 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Michael Beasley,,4.6,3.4,2.4,1.8,1.7,1.6,1.0,0.5,0.2,-0.1,-1.5
Glen Davis,84.8,4.9,3.7,2.5,2.0,1.7,1.6,1.4,0.8,,,
Rasual Butler,84.6,4.6,2.7,2.6,1.7,1.7,1.6,1.2,1.1,0.1,-0.1,-0.2
David Benoit,83.9,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,,,
Kyle O'Quinn,83.7,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,,,
Derek Strong,82.8,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0.0,
Frank Kaminsky,81.4,3.6,3.3,2.3,2.0,1.8,1.4,0.9,0.7,,,
Jeff Cook,81.2,4.5,3.7,2.4,2.3,2.2,2.0,0.6,0.1,,,
Justin Holiday,80.8,4.2,3.1,2.5,2.1,1.8,1.7,1.4,1.3,0.6,0.1,-0.1
Francisco GarcÃ­a,80.5,4.2,3.0,2.4,2.4,1.8,1.6,1.3,1.0,0.8,-0.2,
Etan Thomas,80.0,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1,,
