"('Thru 12 Years', 'Player')","('Thru 12 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Kentavious Caldwell-Pope,,5.3,5.3,4.8,4.6,4.5,4.5,4.2,4.0,3.7,2.8,2.8,1.8
Nate McMillan,88.6,6.5,6.0,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8,2.6,0.8
Mario Elie,85.3,8.9,5.1,4.8,4.6,4.5,4.4,4.2,3.8,3.8,3.1,1.6,
Michael Cooper,85.0,6.5,6.1,5.8,5.2,5.0,5.0,4.6,4.4,4.0,3.1,2.7,0.0
Spud Webb,84.5,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3.0,2.3,2.2,1.2,-0.1
Patrick Beverley,84.3,5.3,4.8,4.4,4.2,4.1,3.6,3.5,3.0,2.7,2.2,2.1,0.4
Vinnie Johnson,84.0,7.7,5.9,5.9,4.8,4.7,4.2,4.1,3.8,3.2,2.7,2.3,0.2
John Lucas,82.7,7.9,5.9,5.7,5.2,4.8,4.3,4.3,3.9,3.9,3.2,1.3,0.4
Derek Fisher,82.6,5.8,5.7,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Jason Williams,82.5,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9,0.2
Courtney Lee,82.2,4.8,4.7,4.4,4.2,3.9,3.9,3.3,3.2,3.1,2.7,0.7,0.4
