"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('Unnamed: 19_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 24_level_0', 'Awards')"
2000-01,21,MIL,NBA,C,1.0,0.0,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2002-03,23,MIL,NBA,C,4.0,3.0,33.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,29,POR,NBA,C,6.0,6.0,162.0,0.556,0.3,1.0,0.944,0.056,0.0,0.0,0.0,0.556,0.529,1.0,0.6,0.056,1.0,0.0,0.0,
3 Yrs,3 Yrs,3 Yrs,3 Yrs,,11.0,9.0,197.0,0.579,0.1,1.0,0.947,0.053,0.0,0.0,0.0,0.579,0.556,1.0,0.545,0.105,2.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,67.0,1469.0,0.579,,1.0,0.947,0.053,0.0,0.0,0.0,0.579,0.556,1.0,0.545,0.105,15.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,
MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),MIL (2 Yrs),,5.0,3.0,35.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,6.0,6.0,162.0,0.556,0.3,1.0,0.944,0.056,0.0,0.0,0.0,0.556,0.529,1.0,0.6,0.056,1.0,0.0,0.0,
