"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Mikal Bridges,,8.9,8.0,7.5,5.7,4.8,4.2,2.9,,,,
Cincy Powell,89.9,8.1,7.0,6.8,6.4,5.4,4.3,3.0,0.1,,,
Montrezl Harrell,89.4,8.7,7.3,7.3,7.0,5.5,4.1,2.2,0.9,,,
Jim McMillian,87.9,8.9,7.9,7.8,6.4,6.0,3.4,2.6,2.5,0.5,,
Charles Smith,87.2,9.4,7.4,6.6,4.8,4.4,4.0,2.4,1.9,0.0,,
Josh Howard,85.7,8.8,8.0,6.7,6.4,3.5,3.2,1.0,0.5,0.0,-0.2,
Bob Netolicky,85.7,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0.0,,
Sidney Wicks,85.5,9.7,7.1,6.1,5.6,5.6,4.2,2.3,1.5,0.4,-0.1,
Jamal Mashburn,84.4,9.0,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Kenneth Faried,84.2,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,,,
Bob Love,84.2,9.9,8.6,7.5,6.3,5.8,5.2,4.5,1.0,1.0,0.6,0.2
